,Unnamed: 0,image,image_cat_score,category,description,question,context_justification,reactionTime
0,0.0,images/travel/7.png,58.5,news,a woman taking a picture of a narrow alley,Why is the lady taking a picture?,something related to the alley is important,6.556683333
1,1.0,images/travel/7.png,58.5,news,a woman taking a picture of a narrow alley,What is important about the alley?,something related to the alley is important,6.556683333
2,2.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What is the woman doing?,because she is showing readiness to exercise,6.556683333
3,3.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What is the woman demonstrating?,because she is showing readiness to exercise,6.556683333
4,4.0,images/travel/5.png,56.5,shopping,a woman walking down a street with her suitcase,Where is this street?,demonstration that a working woman can shop,6.556683333
5,5.0,images/travel/5.png,56.5,shopping,a woman walking down a street with her suitcase,What shopping is available here?,demonstration that a working woman can shop,6.556683333
6,6.0,images/science_journals/2.png,41.83333333,science_journals,a man and woman in wetsuits,What are they looking for?,underwater diving must be applicable,6.556683333
7,7.0,images/science_journals/2.png,41.83333333,science_journals,a man and woman in wetsuits,Where are they?,underwater diving must be applicable,6.556683333
8,8.0,images/social_media/5.png,54.125,social_media,the women's soccer team,How many people are on the team?,The person posting it is a member of the team or is related to a member.,7.413483332999999
9,9.0,images/social_media/5.png,54.125,social_media,the women's soccer team,How successful is the team?,The person posting it is a member of the team or is related to a member.,7.413483332999999
10,10.0,images/health/5.png,39.0,health,a woman kiteboarding in the ocean,Was she unable to kiteboard before this?,To show that the person is an example of a healthy person or a successful outcome of their program.,7.413483332999999
11,11.0,images/health/5.png,39.0,health,a woman kiteboarding in the ocean,How did she improve herself to be able to kiteboard?,To show that the person is an example of a healthy person or a successful outcome of their program.,7.413483332999999
12,12.0,images/shopping/5.png,30.33333333,shopping,a group of vases,What level of quality are these vases?,Showing the selection of items that they have available.,7.413483332999999
13,13.0,images/shopping/5.png,30.33333333,shopping,a group of vases,How much do they cost?,Showing the selection of items that they have available.,7.413483332999999
14,14.0,images/travel/2.png,86.75,travel,a scuba diver in the ocean,Where is the person diving?,Showing a location to which they offer travel.,7.413483332999999
15,15.0,images/travel/2.png,86.75,travel,a scuba diver in the ocean,What other activities are they doing on vacation?,Showing a location to which they offer travel.,7.413483332999999
16,16.0,images/social_media/7.png,68.25,news,a man in a black shirt standing in front of,Who is this person?,The person was involved in a newsworthy story.,7.413483332999999
17,17.0,images/social_media/7.png,68.25,news,a man in a black shirt standing in front of,What were they involved in?,The person was involved in a newsworthy story.,7.413483332999999
18,18.0,images/science_journals/6.png,9.666666667000001,science_journals,a group of men standing in front of a wall,Who are these people?,They were involved in a study or experiment.,7.413483332999999
19,19.0,images/science_journals/6.png,9.666666667000001,science_journals,a group of men standing in front of a wall,What have they accomplished?,They were involved in a study or experiment.,7.413483332999999
20,20.0,images/science_journals/7.png,3.5,science_journals,a street sign that says the olde street,Where is the street sign located? ,This image would appear because it would show geography. ,7.670633333
21,21.0,images/science_journals/7.png,3.5,science_journals,a street sign that says the olde street,What is the significance of the street sign in the photo? ,This image would appear because it would show geography. ,7.670633333
22,22.0,images/science_journals/1.png,51.5,health,a building that has been destroyed,What does a destroyed building have to do with health? ,"A destroyed building is synonymous with a destroyed body from bad health, I think?",7.670633333
23,23.0,images/science_journals/1.png,51.5,health,a building that has been destroyed,Why would this picture be placed with this article? ,"A destroyed building is synonymous with a destroyed body from bad health, I think?",7.670633333
24,24.0,images/travel/4.png,62.0,social_media,a skier on a mountain,Is this an ad for a very specific skiing community? ,Skiing can be a very social activity. ,7.670633333
25,25.0,images/travel/4.png,62.0,social_media,a skier on a mountain,Is skiing a good way to connect with people? ,Skiing can be a very social activity. ,7.670633333
26,26.0,images/shopping/4.png,43.75,shopping,the pool at the holiday inn in san diego,Is this an ad for bathing suits? ,The ad wants people to purchase a stay at the holiday inn. ,7.670633333
27,27.0,images/shopping/4.png,43.75,shopping,the pool at the holiday inn in san diego,What does the holiday inn want to sell me? ,The ad wants people to purchase a stay at the holiday inn. ,7.670633333
28,28.0,images/health/2.png,90.75,travel,a woman running on a mountain,Where is this mountain the woman is hiking to? ,People love to travel to places to hike. ,7.670633333
29,29.0,images/health/2.png,90.75,travel,a woman running on a mountain,How much would this trip be? ,People love to travel to places to hike. ,7.670633333
30,30.0,images/science_journals/4.png,51.66666667,news,a boat with a crab in it,What kind of crab are they catching? ,New Orleans does have good seafood. ,7.670633333
31,31.0,images/science_journals/4.png,51.66666667,news,a boat with a crab in it,Where are some good places to go eat crab in New Orleans?,New Orleans does have good seafood. ,7.670633333
32,32.0,images/shopping/2.png,43.0,shopping,a man wearing a sweater,What is for sale?,This man would be wearing a sweater that is for sale,4.5805
33,33.0,images/shopping/2.png,43.0,shopping,a man wearing a sweater,What is the man doing?,This man would be wearing a sweater that is for sale,4.5805
34,34.0,images/health/2.png,90.75,travel,a woman running on a mountain,Where is the mountain at?,The mountain is the travel destination,4.5805
35,35.0,images/health/2.png,90.75,travel,a woman running on a mountain,What kind of travel experiences are there for me?,The mountain is the travel destination,4.5805
36,36.0,images/news_journals/8.png,84.5,news,a man giving a speech,Who is the man?,The man giving the speech is someone important and it is news worthy,4.5805
37,37.0,images/news_journals/8.png,84.5,news,a man giving a speech,What is his speech about?,The man giving the speech is someone important and it is news worthy,4.5805
38,38.0,images/travel/4.png,62.0,social_media,a skier on a mountain,Who is the person?,This person posted a photo of themselves skiing,4.5805
39,39.0,images/travel/4.png,62.0,social_media,a skier on a mountain,Where are they at?,This person posted a photo of themselves skiing,4.5805
40,40.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What is the person doing that promotes a healthier lifestyle?,This photo is trying to promote health and fitness,4.5805
41,41.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What is the web site for?,This photo is trying to promote health and fitness,4.5805
42,42.0,images/news_journals/4.png,65.4,science_journals,a seal on the beach,Why is the seal alone?,The seal is on the beach to highlight recent science development,4.5805
43,43.0,images/news_journals/4.png,65.4,science_journals,a seal on the beach,What is going on around the seal?,The seal is on the beach to highlight recent science development,4.5805
44,44.0,images/shopping/4.png,91.25,travel,the pool at the holiday inn in san diego,How much are the rooms?,Because they want to show off their amenities,4.0997333330000005
45,45.0,images/shopping/4.png,91.25,travel,the pool at the holiday inn in san diego,WHat does the rest of the resort look like?,Because they want to show off their amenities,4.0997333330000005
46,46.0,images/shopping/7.png,65.4,shopping,a man wearing a white t - shirt,What is being advertised?,because the t-shirt is for sale?,4.0997333330000005
47,47.0,images/shopping/7.png,65.4,shopping,a man wearing a white t - shirt,how old is man,because the t-shirt is for sale?,4.0997333330000005
48,48.0,images/science_journals/1.png,48.5,science_journals,a building that has been destroyed,What cased the destruction?,Because it has something to do with science or a natural accident,4.0997333330000005
49,49.0,images/science_journals/1.png,48.5,science_journals,a building that has been destroyed,What does this have to do with science?,Because it has something to do with science or a natural accident,4.0997333330000005
50,50.0,images/social_media/5.png,62.125,news,the women's soccer team,Did they win something?,Because the women's soccer team did something significant or newsworthy,4.0997333330000005
51,51.0,images/social_media/5.png,62.125,news,the women's soccer team,Were they in a plane crash?,Because the women's soccer team did something significant or newsworthy,4.0997333330000005
52,52.0,images/science_journals/2.png,59.33333333,social_media,a man and woman in wetsuits,where are they,Someone is posting about their vacation,10.43306667
53,53.0,images/science_journals/2.png,59.33333333,social_media,a man and woman in wetsuits,what do they look like,Someone is posting about their vacation,10.43306667
54,54.0,images/shopping/4.png,91.25,travel,the pool at the holiday inn in san diego,how big is the pool,showing what the pool looks like,10.43306667
55,55.0,images/shopping/4.png,91.25,travel,the pool at the holiday inn in san diego,is it indoors,showing what the pool looks like,10.43306667
56,56.0,images/science_journals/2.png,77.83333333,travel,a man and woman in wetsuits,What activity are they doing?,they are promoting the water sports available,7.118466667000001
57,57.0,images/science_journals/2.png,77.83333333,travel,a man and woman in wetsuits,Is the activity safe to participate in?,they are promoting the water sports available,7.118466667000001
58,58.0,images/news_journals/15.png,52.66666667,shopping,a woman performing an indian dance,Is this product something a non-Indian person would be interested in?,I would assume the site is selling some sort of Indian products,7.118466667000001
59,59.0,images/news_journals/15.png,52.66666667,shopping,a woman performing an indian dance,Is this product authentic?,I would assume the site is selling some sort of Indian products,7.118466667000001
60,60.0,images/travel/5.png,53.16666667,social_media,a woman walking down a street with her suitcase,Who is the target audience?,Perhaps this social media site caters to people that have recently moved,7.118466667000001
61,61.0,images/travel/5.png,53.16666667,social_media,a woman walking down a street with her suitcase,Why is the woman carrying a suitcase?,Perhaps this social media site caters to people that have recently moved,7.118466667000001
62,62.0,images/science_journals/6.png,9.666666667000001,science_journals,a group of men standing in front of a wall,Where is the photo taken,The men congregating exemplifies the culture of machismo that exists in the location,7.118466667000001
63,63.0,images/science_journals/6.png,9.666666667000001,science_journals,a group of men standing in front of a wall,Why are the men congregating? For social reasons? Are they plotting something?,The men congregating exemplifies the culture of machismo that exists in the location,7.118466667000001
64,64.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What foods are best to prevent breast cancer,To promote breast cancer awareness month,7.118466667000001
65,65.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,What can be done to prevent breast cancer,To promote breast cancer awareness month,7.118466667000001
66,66.0,images/science_journals/1.png,94.0,news,a building that has been destroyed,How did the building collapse,To shock and horror the viewer,7.118466667000001
67,67.0,images/science_journals/1.png,94.0,news,a building that has been destroyed,Was anyone injured in the incident,To shock and horror the viewer,7.118466667000001
68,68.0,images/shopping/5.png,30.33333333,shopping,a group of vases,What does the vase look like?,Because a vase holds the plants for decoration,6.759633332999999
69,69.0,images/shopping/5.png,30.33333333,shopping,a group of vases,What kind of vase is it?,Because a vase holds the plants for decoration,6.759633332999999
70,70.0,images/science_journals/2.png,41.83333333,science_journals,a man and woman in wetsuits,What do the wetsuits look like?,To promote the product of the wetsuits for people to buy.,6.759633332999999
71,71.0,images/science_journals/2.png,41.83333333,science_journals,a man and woman in wetsuits,What kind of wetsuit pattern is available?,To promote the product of the wetsuits for people to buy.,6.759633332999999
72,72.0,images/news_journals/15.png,32.0,news,a woman performing an indian dance,What kind of dance is she doing?,To display the dance for entertainment,6.759633332999999
73,73.0,images/news_journals/15.png,32.0,news,a woman performing an indian dance,What is this dance on the news?,To display the dance for entertainment,6.759633332999999
74,74.0,images/travel/5.png,94.5,travel,a woman walking down a street with her suitcase,How many lbs or kg can the suitcase weigh?,To promote the suitcase for traveling.,6.759633332999999
75,75.0,images/travel/5.png,94.5,travel,a woman walking down a street with her suitcase,What is the recommended suitcase?,To promote the suitcase for traveling.,6.759633332999999
76,76.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,Is this recommended?,To promote the health and fitness of this sport,6.759633332999999
77,77.0,images/health/3.png,95.33333333,health,a woman in a pink sports bra top,Why is it in pink?,To promote the health and fitness of this sport,6.759633332999999
78,78.0,images/news_journals/34.png,42.0,news,a woman standing on the beach,What do these people have to do with the news?,Because it is an article about something contaminating the beach.,11.98775
79,79.0,images/news_journals/34.png,42.0,news,a woman standing on the beach,What is happening on the beach?,Because it is an article about something contaminating the beach.,11.98775
80,80.0,images/social_media/7.png,16.5,social_media,a man in a black shirt standing in front of,Are you doing something with people?,Because he is doing something outside,11.98775
