,image,participant,category,question,answer,unanswerable,orig_study,context_justification,reactionTime
0,images/science_journals/1.png,-N_GD4uwf7DvInxHkoq7,news,Where is the location?,,True,textversion,It likely appears because its showing the aftermath of a natural disaster.,10.635433333333333
1,images/shopping/6.png,-N_GD4uwf7DvInxHkoq7,social_media,Is he doing something related to social media?,"No, its a picture of a snowboarder looking at something in the distance.",False,imgversion,The algorithm thinks that I'm interested in snowboarding.,10.635433333333333
2,images/science_journals/2.png,-N_GD4uwf7DvInxHkoq7,health,The age of the people.,,True,textversion,The implication of the picture is that using the water to exercise is healthy.,10.635433333333333
3,images/shopping/1.png,-N_GD4uwf7DvInxHkoq7,shopping,What color are the curtains?,The curtains are white.,False,textversion,"Promoting privacy and creating a cozy bedroom atmosphere so that the purchaser has an idea of how it will look.




",10.635433333333333
4,images/travel/6.png,-N_GD4uwf7DvInxHkoq7,travel,What type of noodles are shown?,,True,imgversion,Displaying local cuisine to attract tourists and food enthusiasts.,10.635433333333333
5,images/social_media/7.png,-N_GD4uwf7DvInxHkoq7,science_journals,What is he standing in front of?, A wall with the NASA abbreviation etched into it.,False,imgversion,Highlighting NASA's achievements in the scientific community.,10.635433333333333
6,images/news_journals/15.png,-N_GEMBKUT_ngv7xEB-o,travel,What is it like traveling to india?,,True,textversion,"It looks like it is a picture of a performance, maybe something popular for tourists. ",9.3528
7,images/health/3.png,-N_GEMBKUT_ngv7xEB-o,health,What is she doing and why is she wearing that?,"She is exercising to improve her health, she is wearing that outfit for better mobility and comfort while exercising. ",False,imgversion,It is a picture of a woman who looks fit and is exercising. ,9.3528
8,images/news_journals/4.png,-N_GEMBKUT_ngv7xEB-o,science_journals,is the seal population dwindling?,,True,imgversion,There might be a scientific discovery regarding seals. ,9.3528
9,images/travel/7.png,-N_GEMBKUT_ngv7xEB-o,news,what happened here?,,True,textversion,There may be a story regarding this location,9.3528
10,images/shopping/6.png,-N_GEMBKUT_ngv7xEB-o,social_media,Who is this person in the photo?,a snowboarder,False,textversion,This may be a persons social media post,9.3528
11,images/shopping/1.png,-N_GEMBKUT_ngv7xEB-o,shopping,What color is the bed?,The color of the bed is blue,False,textversion,one of the items shown is probably a product being sold,9.3528
12,images/science_journals/5.png,-N_GGKohuakieRctqlA2,science_journals,What does the environment around them look like?,Three people are fishing by a river in a forest.,False,imgversion,The impact of fishing on ecosystems.,8.791183333333333
13,images/travel/2.png,-N_GGKohuakieRctqlA2,travel,Where is the scuba diver,"Underwater near some small fish, corals, and other sea life.",False,textversion,Scuba diving is an activity at a destination.,8.791183333333333
14,images/shopping/7.png,-N_GGKohuakieRctqlA2,shopping,I would like to know the price,,True,textversion,To show a product worn by a person.,8.791183333333333
15,images/science_journals/1.png,-N_GGKohuakieRctqlA2,news,Was anyone harmed with the building falling down?,,True,imgversion,A disaster of some sort destroyed a building.,8.791183333333333
16,images/health/6.png,-N_JoC34uVfbJ7XfjzVa,health,What kinds of foods are in the bowls?,Nuts and seeds,False,imgversion,"Fruits & vegetables are healthy, nutritious as well as visually stimulating",6.26195
17,images/shopping/6.png,-N_JoC34uVfbJ7XfjzVa,social_media,What's the weather like?,Partly sunny and cold,False,imgversion,Indicates adventure and something someone might share on social media,6.26195
18,images/news_journals/4.png,-N_JoC34uVfbJ7XfjzVa,science_journals,is the seal population dwindling?,,True,imgversion,An animal is studied under the scientific field of biology,6.26195
19,images/news_journals/8.png,-N_JoC34uVfbJ7XfjzVa,news,What is the speech about?,,True,textversion,Looks like a picture from a recent local event,6.26195
20,images/travel/2.png,-N_JoC34uVfbJ7XfjzVa,travel,Is there something beautiful surrounding the scuba diver?,"Yes, a colorful coral reef",False,imgversion,People often travel to places where snorkeling is a top activity to do,6.26195
21,images/shopping/4.png,-N_JoC34uVfbJ7XfjzVa,shopping,How does the hotel look?,Modern three story building with a large outdoor patio and pool,False,imgversion,Nearby accommodation to the shopping center,6.26195
22,images/shopping/1.png,-N_Jobc3RgE78SZNo6SM,shopping,What color are the curtains?,THEY ARE white,False,textversion,"They are selling bedroom stuff, mainly bedding stuff",7.496466666666667
23,images/science_journals/2.png,-N_Jobc3RgE78SZNo6SM,health,What should I wear when swimming,they are wearing a diving suit,False,imgversion,I guess because free-diving burns calories,7.496466666666667
24,images/social_media/5.png,-N_Jobc3RgE78SZNo6SM,social_media,how many women are there?,,True,imgversion,To show togetherness of people,7.496466666666667
25,images/science_journals/4.png,-N_Jobc3RgE78SZNo6SM,science_journals,what are the objects in the cage,Looks like a wine cask,False,imgversion,I guess someone is making wine underwater for  some unholy reason,7.496466666666667
26,images/health/3.png,-N_JoemBV6HxnFogUYEV,shopping,What's the website name,Lululemo.com,False,textversion,the website sells workout clothing,8.511416666666667
27,images/news_journals/15.png,-N_JoemBV6HxnFogUYEV,travel,Is the woman performing on a stage?,yes the woman is performing on a stage,False,imgversion,it represents the culture of a destination,8.511416666666667
28,images/social_media/7.png,-N_JoemBV6HxnFogUYEV,social_media,I would like to know why it was placed there?,it shows the person has an interest in space,False,textversion,this person admires this organization,8.511416666666667
29,images/science_journals/7.png,-N_JoemBV6HxnFogUYEV,science_journals,Where is the street sign located? ,the left bottom corner of the picture,False,textversion,it is a famous landmark for science,8.511416666666667
30,images/travel/7.png,-N_JoemBV6HxnFogUYEV,news,What is taking place in the alley?,a girl is taking a photograph of the alley,False,imgversion,the image highlights urban conditions,8.511416666666667
31,images/science_journals/1.png,-N_JotiVRy0CTGsuS0iz,news,What caused the building to collapse or be destroyed?,Perhaps an earthquake or poor construction,False,imgversion,A natural disaster has occurred ,4.69695
32,images/health/6.png,-N_JotiVRy0CTGsuS0iz,health,Does the image have to do with a recipe?,"It is unlikely, as some of the ingredients don't make sense together",False,textversion,It shows healthy plants and food,4.69695
33,images/shopping/6.png,-N_JotiVRy0CTGsuS0iz,social_media,What's the weather like?,"Sunny, likely cold",False,imgversion,A friend is posting their snowboarding pictures from vacation,4.69695
34,images/news_journals/15.png,-N_JotiVRy0CTGsuS0iz,shopping,Is this product authentic?,,True,textversion,It could be a website for traditional Indian clothing,4.69695
35,images/travel/5.png,-N_JotiVRy0CTGsuS0iz,travel,How many lbs or kg can the suitcase weigh?,,True,textversion,A woman is walking through a market with a suitcase,4.69695
36,images/science_journals/7.png,-N_JotiVRy0CTGsuS0iz,science_journals,How informative and reliable?,Not very informative at all,False,textversion,This image does not seem to belong on a science magazine website,4.69695
37,images/shopping/5.png,-N_JpOmiRUKm-OIRAF31,shopping,What kind of vase is it?,There are vases in various sizes that are patterned with faces.  Kind of like a nesting doll vase.,False,textversion,Because it either relates to the product or it is being used to grab attention.,8.83265
38,images/news_journals/4.png,-N_JpOmiRUKm-OIRAF31,news,what's behind the seal and how did he washup on the beach,there is a log behind the seal and we do not know how he washed up.,False,imgversion,there is an impact to wildlife.,8.83265
39,images/travel/4.png,-N_JpOmiRUKm-OIRAF31,travel,Where is the mountain located?,No idea - behind the skiier?,False,imgversion,Because skiing is a common vacation destination.,8.83265
40,images/science_journals/2.png,-N_JpOmiRUKm-OIRAF31,social_media,What are their names,Michael and DIane,False,imgversion,Two people go diving or snorkling on vacation?,8.83265
41,images/health/5.png,-N_JpOmiRUKm-OIRAF31,health,How old is this woman? ,This woman is probably in her early 20s,False,textversion,This would be an extreme sport - so extreme health?,8.83265
42,images/social_media/7.png,-N_JqXCpSSq4vmz6IT1h,news,What is the man standing in front of in the picture?,A wall that is clearly owned by NASA.,False,imgversion,To possibly introduce a new NASA experiment that is taking place.,8.046633333333334
43,images/shopping/2.png,-N_JqXCpSSq4vmz6IT1h,shopping,Is this man standing in a field?,"Yes, by a lake.",False,imgversion,To show off the new clothing apparel on their website.,8.046633333333334
44,images/travel/4.png,-N_JqXCpSSq4vmz6IT1h,travel,What are other activities or sights are this location?,The person is skiing on the snow with a mountain in the background.,False,textversion,To give an entertaining picture of someone traveling at a fast pace with a beautiful view.,8.046633333333334
45,images/science_journals/2.png,-N_JqXCpSSq4vmz6IT1h,science_journals,I would like to know why the man and woman are there.,They are showing off their new swim suits in order to show that science was heavily used in designing them.,False,textversion,To show off a newly engineered swim suit that was heavily designed my science.,8.046633333333334
46,images/social_media/1.png,-N_JqXCpSSq4vmz6IT1h,social_media,Where are they at?,He is standing against a brown wooden wall.,False,textversion,To show a popular person who is wearing popular clothing.,8.046633333333334
47,images/science_journals/1.png,-N_JqXCpSSq4vmz6IT1h,health,why is it being destroyed,Maybe the building was no longer useful or they are clearing it to make something else.,False,textversion,"This shows that due to the destruction o buildings, debris is given off, harming people's health.",8.046633333333334
48,images/shopping/4.png,-N_KC1yemiufH5-Myu2H,shopping,"Is this a type of trip, and if so, what is it?",A trip to a hotel pool,False,textversion,To inspire consumers to explore the pool.,4.620516666666667
49,images/science_journals/2.png,-N_KC1yemiufH5-Myu2H,health,What should I wear when swimming,A wet suit.,False,imgversion,Encourage all types of people to do water activities.,4.620516666666667
50,images/science_journals/1.png,-N_KC1yemiufH5-Myu2H,news,Was anyone injured in the incident,Most likely,False,textversion,It represents a natural disaster that occurred.,4.620516666666667
51,images/shopping/3.png,-N_KC1yemiufH5-Myu2H,social_media,Why is he there?,He is enjoying the view,False,textversion,A person's profile picture or photo updates.,4.620516666666667
52,images/science_journals/3.png,-N_KC1yemiufH5-Myu2H,science_journals,Are the plants around the concert hall?,The plants are everywhere,False,imgversion,Music makes plants grow bigger?,4.620516666666667
53,images/shopping/2.png,-N_KFcrbJXizGoTuwEAf,shopping,Is this same sweater available for purchase?,,True,textversion,To show the item off on a handsome and fit person,7.825933333333333
54,images/travel/2.png,-N_KFcrbJXizGoTuwEAf,science_journals,What is the context of the article?,,True,textversion,to show off the wonders and diversity of ocean life,7.825933333333333
55,images/science_journals/2.png,-N_KFcrbJXizGoTuwEAf,health,What should I wear when swimming,You could wear what people are wearing in a recent photo i saw.  They were wearing full body wet suits.  Probably not the most practical but its something,False,imgversion,Maybe to show that scuba or water sports are good for people looking to be more active and healthy?,7.825933333333333
56,images/social_media/1.png,-N_KFcrbJXizGoTuwEAf,social_media,Where are they at?,To me it looks like they are in an urban setting based off the background and their outfit.  I'd say a pretty cold climate too since they are wearing hoodie and jacket but can't be sure of the exact location. ,False,textversion,To make the subject of the photo look cooler or interesting to other users,7.825933333333333
57,images/news_journals/8.png,-N_KFcrbJXizGoTuwEAf,news,What is his speech about?,,True,textversion,To show how the public can interact with local officials / govt.,7.825933333333333
58,images/shopping/6.png,-N_KFcrbJXizGoTuwEAf,travel,how long this company has been in business,,True,textversion,to promote traveling to a snow/ski climate,7.825933333333333
59,images/shopping/1.png,-N_KGPkexPRr-C0yEAFI,shopping,What color is the bed?,Blue is the color.,False,imgversion,It looks nice and has good lighting.,4.594883333333334
60,images/news_journals/15.png,-N_KGPkexPRr-C0yEAFI,travel,What is it like traveling to india?,India has a very rich culture and is big.,False,textversion,It shows a women of a different culture.,4.594883333333334
61,images/travel/6.png,-N_KGPkexPRr-C0yEAFI,social_media,is it spicy?,It does appear to be spicy.,False,imgversion,It shows food from around the world.,4.594883333333334
62,images/science_journals/7.png,-N_KGPkexPRr-C0yEAFI,science_journals,Is it night or day time?,It is day time.,False,imgversion,It emphasizes the importance of the outdoors.,4.594883333333334
63,images/science_journals/1.png,-N_KGPkexPRr-C0yEAFI,news,Was anyone injured in the incident,People were definitely injured.,False,textversion,It shows a tragic event around the world.,4.594883333333334
64,images/social_media/7.png,-N_KK1sIT1s_MyCdhXO2,social_media,What does the man look like?,a person who works at nasa,False,imgversion,to give a human face to the company maybe,18.2899
65,images/science_journals/5.png,-N_KK1sIT1s_MyCdhXO2,science_journals,Where is the river?,in the north somewhere based on the trees,False,imgversion,it is an example of whatever the article is about im assuming fish,18.2899
66,images/health/2.png,-N_KK1sIT1s_MyCdhXO2,travel,What kind of mountain is she running on?,a very rocky one,False,imgversion,shows someone enjoying the location,18.2899
67,images/science_journals/1.png,-N_KK1sIT1s_MyCdhXO2,health,Are there people around?,yes quite a few,False,imgversion,might be talking about the effects of disasters on health,18.2899
68,images/news_journals/34.png,-N_KK3nSYjk4-pz1DKta,news,What are her emotions? ,She looks content,False,imgversion,To highlight a news story about someone,8.03525
69,images/travel/5.png,-N_KK3nSYjk4-pz1DKta,social_media,Is it a busy street?,it is not a busy street,False,textversion,to show a particular influencer,8.03525
70,images/travel/6.png,-N_KK3nSYjk4-pz1DKta,travel,The name of the restaurant or person who prepared it. ,,True,textversion,to preview food that can be found in a certain location,8.03525
71,images/health/6.png,-N_KK3nSYjk4-pz1DKta,health,Do they follow a particular diet?,yes: vegetarian or vegan,False,textversion,to show ingredients found in a helthy diet,8.03525
72,images/health/2.png,-N_KK9M5MRbDHJgNb624,health,"How cold is it, where they are running?","He is on a mountain with snow visible in the distant background, It is not warm but it also is not terribly cold.",False,imgversion,A exercise that encourages a healthy lifestyle,13.728833333333334
73,images/news_journals/11.png,-N_KK9M5MRbDHJgNb624,news,what teams are in the picture?,"unclear what the teams are, but one wears a blue outfit while the other wears a white outfit.",False,imgversion,News about a soccer competition,13.728833333333334
74,images/shopping/7.png,-N_KK9M5MRbDHJgNb624,social_media,Is this person someone I know?,,True,imgversion,to demonstrate someone who is happy/satisfied with something,13.728833333333334
75,images/science_journals/1.png,-N_KK9M5MRbDHJgNb624,science_journals,What caused the destruction of the building?,a earthquake,False,imgversion,demonstrating the effects of earthquakes,13.728833333333334
76,images/social_media/1.png,-N_KLDPwJYpLNIA7_J0v,social_media,is he alone?,"Yes, they are alone leaning against a wall",False,imgversion,The person posted it to show where they are,6.524566666666667
77,images/health/2.png,-N_KLDPwJYpLNIA7_J0v,science_journals,Where is the woman running,The person is running towards the camera,False,imgversion,To show the beauty of the landscape,6.524566666666667
78,images/shopping/3.png,-N_KLDPwJYpLNIA7_J0v,shopping,What is the man wearing? ,"A green sweater over a blue shirt, with a pair of khaki pants",False,imgversion,They are probably showing off his attire,6.524566666666667
79,images/health/7.png,-N_KLDPwJYpLNIA7_J0v,health,The strength of the bands?,,True,imgversion,To highlight the women's fitness and encourage others,6.524566666666667
80,images/travel/2.png,-N_KLDPwJYpLNIA7_J0v,travel,"What would a vacation that involves scuba diving look like?
","Swimming underwater, seeing fish and coral",False,textversion,To show what adventures you might have if you travel,6.524566666666667
81,images/science_journals/4.png,-N_KLDPwJYpLNIA7_J0v,news,Is the boat a commercial fisherman or a boat out for pleasure?,,True,imgversion,To add detail to the news story,6.524566666666667
82,images/shopping/4.png,-N_KLo4Edf9gAJh5-NRL,shopping,"Is this a type of trip, and if so, what is it?",You might stay here if you are going on a trip.,False,textversion,This would show up for a hotel booking. ,9.279083333333332
83,images/science_journals/4.png,-N_KLo4Edf9gAJh5-NRL,science_journals,How large is the boat?,"It's a fairly small boat, but larger than a fishing boat or kayak.",False,imgversion,"Since the boat is labelled UnderWaterWine, I would imagine it would be discussing the science behind how this happens. ",9.279083333333332
84,images/social_media/5.png,-N_KLo4Edf9gAJh5-NRL,social_media,How successful is the team?,"The team looks rather successful, they all have medals.",False,textversion,"I would assume that a friends child was in this photo, maybe they had a competition. ",9.279083333333332
85,images/science_journals/1.png,-N_KLo4Edf9gAJh5-NRL,health,Does the building represent something?,"It's hard to say, the building looks to be destroyed and people are standing on the remains. ",False,textversion,"This looks like a destroyed building, it could be effecting the health or residents nearby.",9.279083333333332
86,images/news_journals/34.png,-N_KLo4Edf9gAJh5-NRL,news,What happened in the beach?,"The woman doesn't look sad, but there's no other clues as to what happened. ",False,textversion,I would assume this woman was either a part of the news station or part of the story that is being reported.,9.279083333333332
87,images/science_journals/5.png,-N_KLo4Edf9gAJh5-NRL,travel,How big is the river?,"It's a pretty wide river, it would probably be difficult to swim across. ",False,imgversion,"It looks like a nice place to visit, travelers may be interested in visiting. ",9.279083333333332
88,images/science_journals/6.png,-N_KLrYK72QV5HXZzvko,science_journals,what age of men are they?,early 20's,False,imgversion,Men growing up in the early 50's era ,8.776666666666667
89,images/travel/4.png,-N_KLrYK72QV5HXZzvko,social_media,What is the purpose of the picture? ,Challenging skiing ,False,imgversion,travel ad for skiing destinations ,8.776666666666667
90,images/health/6.png,-N_KLrYK72QV5HXZzvko,health,What kinds of foods are in the bowls?,"Fruits, nuts, seeds and  grains. ",False,imgversion,"It features very healthy fruits and, grains and vegetables. ",8.776666666666667
91,images/shopping/6.png,-N_KLrYK72QV5HXZzvko,travel,Who is the person in the picture? ,"Not sure if famous, but a young person enjoying snowboarding. ",False,imgversion,Snowboarding is a popular activity here. ,8.776666666666667
92,images/shopping/1.png,-N_KLrYK72QV5HXZzvko,shopping,What size is the bed?,"Twin size or full, hard to tell. ",False,imgversion,"It shows a way  to partition off your bed for more privacy, such as in a dorm or a shared bedroom. ",8.776666666666667
93,images/social_media/7.png,-N_KLrYK72QV5HXZzvko,news,What is the man standing in front of?,NASA building ,False,textversion,This man has something to do with NASA or it's an article about NASA. ,8.776666666666667
