,image,image_cat_score,participant,category,description,question,context_justification,reactionTime
0,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Why is she kiteboarding?,To show what you can do when you're healthy,8.4452
1,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Is she able-bodied?,To show what you can do when you're healthy,8.4452
2,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,Did they win?,To show the victors of a recent sporting event.,8.4452
3,images/social_media/5.png,62.125,#NAME?,news,the women's soccer team,Is this a photograph of them while playing or is this a more organized picture?,To show the victors of a recent sporting event.,8.4452
4,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Where is she?,Someone that I know posted the image,8.4452
5,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Is she walking calmly or is she in a hurry?,Someone that I know posted the image,8.4452
6,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,What type of dish is it?,To show a variety of foods you can eat while traveling ,8.4452
7,images/travel/6.png,49.6,#NAME?,travel,a bowl of noodles with vegetables,Is there meat in it?,To show a variety of foods you can eat while traveling ,8.4452
8,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,Are the crabs in a container?,"To show a process, like fishing or collecting items. ",8.4452
9,images/science_journals/4.png,57.33333333,#NAME?,science_journals,a boat with a crab in it,What kind of boat is it?,"To show a process, like fishing or collecting items. ",8.4452
10,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,What is the man wearing? ,To show the merchandise of the website,8.4452
11,images/shopping/3.png,31,#NAME?,shopping,a man with a beard sitting on a rock near,What color are the things he is wearing?,To show the merchandise of the website,8.4452
12,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,Why does she have a suitcase with her?,Why does she have a suitcase with her?,5.036216667
13,images/travel/5.png,53.16666667,#NAME?,social_media,a woman walking down a street with her suitcase,What does the street look like?,Why does she have a suitcase with her?,5.036216667
14,images/social_media/7.png,80.5,#NAME?,science_journals,a man in a black shirt standing in front of,What is he standing in front of?,What is the man look at in the distance?,5.036216667
15,images/social_media/7.png,80.5,#NAME?,science_journals,a man in a black shirt standing in front of,Is the man only standing there?,What is the man look at in the distance?,5.036216667
16,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What is near the scuba diver?,Where is the scuba diver diving?,5.036216667
17,images/travel/2.png,86.75,#NAME?,travel,a scuba diver in the ocean,What colors can be observed?,Where is the scuba diver diving?,5.036216667
18,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,How did the building get destroyed?,What caused the building to collapse?,5.036216667
19,images/science_journals/1.png,51.5,#NAME?,health,a building that has been destroyed,Were there people inside the building?,What caused the building to collapse?,5.036216667
20,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,What kind of crabs do they have?,What are they lifting out of the water?,5.036216667
21,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,What kind of boat is it?,What are they lifting out of the water?,5.036216667
22,images/shopping/4.png,43.75,#NAME?,shopping,the pool at the holiday inn in san diego,Are people in the pool?,Why am I looking at a hotel swimming pool?,5.036216667
23,images/shopping/4.png,43.75,#NAME?,shopping,the pool at the holiday inn in san diego,How deep is the pool?,Why am I looking at a hotel swimming pool?,5.036216667
24,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of clothes are they wearing?,To show the unique places you can travel to.,7.688583333
25,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What is the weather on the mountain,To show the unique places you can travel to.,7.688583333
26,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,How many people are fishing?,There is a piece about fishing/fish and ecology.,7.688583333
27,images/science_journals/5.png,61.33333333,#NAME?,science_journals,people fishing in the river,What does the environment around them look like?,There is a piece about fishing/fish and ecology.,7.688583333
28,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Does she look like she is having fun?,Outdoor activities are good for health.,7.688583333
29,images/health/5.png,39,#NAME?,health,a woman kiteboarding in the ocean,Is it being used to promote health?,Outdoor activities are good for health.,7.688583333
30,images/shopping/6.png,62.14285714,#NAME?,social_media,a snowboarder standing on a snow covered hill,Is he looking at something specific?,Inspire people to post their activities like snowboarding.,7.688583333
31,images/shopping/6.png,62.14285714,#NAME?,social_media,a snowboarder standing on a snow covered hill,Is he doing something related to social media?,Inspire people to post their activities like snowboarding.,7.688583333
32,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is the advertisement for luggage?,To show how their products look good around the world.,7.688583333
33,images/travel/5.png,56.5,#NAME?,shopping,a woman walking down a street with her suitcase,Is she going shopping?,To show how their products look good around the world.,7.688583333
34,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,Why is there a crab in the boat?,Something happening in a local body of water related to fishing.,7.688583333
35,images/science_journals/4.png,51.66666667,#NAME?,news,a boat with a crab in it,Is there something wrong with the crabs?,Something happening in a local body of water related to fishing.,7.688583333
36,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of person is the woman?,Some people travel to great hiking locations. ,8.700066667
37,images/health/2.png,90.75,#NAME?,travel,a woman running on a mountain,What kind of mountain is she running on?,Some people travel to great hiking locations. ,8.700066667
38,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,Are they by themselves?,People who ski like to connect with other skiers.,8.700066667
39,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,What are they wearing?,People who ski like to connect with other skiers.,8.700066667
40,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,Is the alley clean?,There are issues with small alley ways.,8.700066667
41,images/travel/7.png,58.5,#NAME?,news,a woman taking a picture of a narrow alley,Is there anything blocking the alley?,There are issues with small alley ways.,8.700066667
42,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,Is it a city street or a neighborhood street?,Science issues affecting homes. ,8.700066667
43,images/science_journals/7.png,3.5,#NAME?,science_journals,a street sign that says the olde street,Is it night or day time?,Science issues affecting homes. ,8.700066667
44,images/science_journals/3.png,37.2,#NAME?,science_journals,a concert hall filled with plants,Are there any people? ,A discussion about plants indoors,9.486566667
45,images/science_journals/3.png,37.2,#NAME?,science_journals,a concert hall filled with plants,where are the plants?,A discussion about plants indoors,9.486566667
46,images/travel/4.png,62,#NAME?,social_media,a skier on a mountain,is the skier alone?,Skiing might be a good place to make connections,9.486566667
